iter	Passed	Remaining
857	14619	2419
858	14628	2401
859	14648	2384
860	14668	2368
861	14684	2350
862	14703	2334
863	14723	2317
864	14742	2300
865	14759	2283
866	14776	2266
867	14794	2249
868	14813	2233
869	14831	2216
870	14847	2199
871	14856	2180
872	14871	2163
873	14882	2145
874	14890	2127
875	14910	2110
876	14918	2092
877	14938	2075
878	14946	2057
879	14966	2040
880	14986	2024
881	15006	2007
882	15020	1990
883	15028	1972
884	15036	1953
885	15050	1936
886	15064	1919
887	15083	1902
888	15095	1884
889	15105	1866
890	15125	1850
891	15145	1833
892	15165	1817
893	15184	1800
894	15201	1783
895	15222	1766
896	15230	1748
897	15251	1732
898	15260	1714
899	15277	1697
900	15289	1680
901	15309	1663
902	15326	1646
903	15347	1629
904	15353	1611
905	15367	1594
906	15386	1577
907	15396	1560
908	15406	1542
909	15416	1524
910	15436	1508
911	15456	1491
912	15469	1474
913	15478	1456
914	15497	1439
915	15513	1422
916	15519	1404
917	15533	1387
918	15551	1370
919	15568	1353
920	15588	1337
921	15598	1319
922	15608	1302
923	15616	1284
924	15627	1267
925	15636	1249
926	15655	1232
927	15665	1215
928	15676	1198
929	15692	1181
930	15712	1164
931	15720	1147
932	15740	1130
933	15748	1112
934	15758	1095
935	15775	1078
936	15793	1061
937	15811	1045
938	15821	1027
939	15828	1010
940	15846	993
941	15854	976
942	15861	958
943	15872	941
944	15892	924
945	15912	908
946	15921	891
947	15931	873
948	15941	856
949	15960	840
950	15968	822
951	15976	805
952	15996	788
953	16014	772
954	16032	755
955	16050	738
956	16069	722
957	16087	705
958	16098	688
959	16117	671
960	16128	654
961	16135	637
962	16155	620
963	16163	603
964	16179	586
965	16198	570
966	16218	553
967	16229	536
968	16237	519
969	16256	502
970	16265	485
971	16283	469
972	16303	452
973	16324	435
974	16339	418
975	16350	402
976	16357	385
977	16368	368
978	16377	351
979	16397	334
980	16406	317
981	16420	300
982	16440	284
983	16460	267
984	16480	250
985	16488	234
986	16507	217
987	16516	200
988	16528	183
989	16536	167
990	16554	150
991	16571	133
992	16591	116
993	16609	100
994	16628	83
995	16649	66
996	16669	50
997	16687	33
998	16696	16
999	16716	0
